"figure-grounded diagram
","- Schwarzplan
<br>- Darstellung von Gebäuden in einem ausgewählten Planausschnitt. Alle anderen Planelemente wie beispielsweise Straßen, Vegetation oder Gewässer werden ausgeblendet. [Wikipedia](https://de.wikipedia.org/wiki/Schwarzplan)
"
"fixed point
","- Lagefestpunkt
<br>- geodätischer Festpunkt
"
"footprint (of a building)
","- Grundriß
"
"gazetteer
","- geographisches Ortsnamenverzeichnis
"
"geodesic
","- Geodäte
"
"geodesy
","- Geodäsie
"
"geodetic reference system (GRS)
","- geodätisches Datum
<br>- refrence ellipsoid + reference frame
"
"geographical pole
","- geographische Pol
<br>- Durchstoßpunkte der Rotationsachse eines Himmelskörper ([Wikipedia](https://de.wikipedia.org/wiki/Pol_(Geographie)))
"
"geoid
","- Geoid
<br>- ausgewählte Äquipotentialfläche (Fläche gleichen Potentials) des Erdschwerefeldes [swisstopo](https://www.swisstopo.admin.ch/de/wissen-fakten/geodaesie-vermessung/geoid.html)
<br>- dient zur Definition von Höhen sowie zur Vermessung und Beschreibung der Erdfigur [Wikipedia](https://de.wikipedia.org/wiki/Geoid)
"
"geolocation
","- Positionsbestimmung, Verortung
"
"gestalt principles
","- Gestaltgesetze
<br>- wesentliche Faktoren für die Zusammenhangsbildung in der Wahrnehmung ([Wikipedia](https://de.wikipedia.org/wiki/Gestaltpsychologie))
"
"gestalt psychology
","- Gestaltpsychologie
<br>- beschäftigt sich mit der Fähigkeit menschlicher Wahrnehmung, Strukturen und Ordnungsprinzipien in Sinneseindrücke auszumachen ([Wikipedia](https://de.wikipedia.org/wiki/Gestaltpsychologie))
"
"gnomonic projection
","- gnomonische Projektion
<br>- Zentralprojektion, bei der das Projektionszentrum im Mittelpunkt des abzubildenden Körpers liegt ([Wikipedia](https://de.wikipedia.org/wiki/Gnomonische_Projektion))
"
"graticular network
","- Gradnetz
"
"gravity anomaly
","- Schwereanomalie
<br>- lokale Abweichung der Schwerebeschleunigung vom theoretischen Normalwert auf einer Referenzfläche (Referenzellipsoid) [Wikipedia](https://de.wikipedia.org/wiki/Schwereanomalie)
"
"gravity field
","- Schwerefeld oder Gravitationsfeld
<br>- Kraftfeld, verursacht durch Gravitation und Trägheitswirkungen
<br>  - Feldstärke ist die Schwere (Schwerebeschleunigung oder Fallbeschleunigung) 
"
"grid coordinates
","- gitterkoordinaten
"
"grid zone
","- Zonenfeld
"
"hachures
","- Schraffen
"
"half-wind
","- Halb-Wind (einer Windrose)
"
"height mark
","- Höhenfestpunkt
<br>- geodätischer Festpunkt, welcher speziell als Ausgangspunkt für die Höhenmessung dient ([Wikipedia](https://de.wikipedia.org/wiki/H%C3%B6henfestpunkt))
"
"interval scale
","- Intervallskala
<br>- ist Teil der Kardinalskala
"
"isobath
","- Tiefenlinie, Isobathe
"
"isohypse
","- Höhenlinie, Isohypse
"
"land registry
","- Liegenschaftsbuch
"
"land survey
","- topographische Landesaufnahme
"
"land surveying
","- Landesvermessung
"
"latitude, degree of latitude
","- Breitengrad
"
"law of closure
","- Gesetz der Geschlossenheit
<br>- Es werden bevorzugt Strukturen wahrgenommen, die eher geschlossen als offen wirken
"
"law of connection
","- Gesetz der verbundenen Elemente
<br>- Verbundene Elemente werden als ein Objekt empfunden
"
"law of enclosure
","- Gesetz der gemeinsamen Region
<br>- Elemente in abgegrenzten Gebieten werden als zusammengehörig empfunden
"
"law of familiarity, law of past experience
","- Gesetz der Erfahrung
"
"law of good continuation
","- Gesetz der guten Fortsetzung
<br>- Linien werden immer so gesehen, als folgten sie dem einfachsten Weg. Kreuzen sich zwei Linien, so gehen wir nicht davon aus, dass der Verlauf der Linien an dieser Stelle einen Knick macht, sondern wir sehen zwei gerade durchgehende Linien.
"
"law of Proximity
","- Gesetz der Nähe
<br>- Elemente mit geringen Abständen zueinander werden als zusammengehörig wahrgenommen
"
"law of prägnanz, law of good gestalt
","- Gesetz der Prägnanz, Gesetz der guten Gestalt, Gesetz der Einfachheit
<br>- Es werden bevorzugt Gestalten wahrgenommen, die in einer einprägsamen (Prägnanztendenz) und einfachen Struktur (= „Gute Gestalt“) resultieren
"
"law of similarity
","- Gesetz der Ähnlichkeit
<br>- Einander ähnliche Elemente werden als zusammengehörig wahrgenommen
"
"law of symmetry
","- Gesetz der Symmetrie
"
"line of latitude
","- Breitenkreis
"
"line of longitude
","- Längenkreis
"
"longitude, degree of longitude
","- Längengrad
"
"loxodrome
","- Loxodrome
<br>- Kursgleiche, Winkelgleiche oder Kurve konstanten Kurses
<br>- eine Kurve, welche auf einer Kugeloberfläche – z. B. der Erdoberfläche –, die die Meridiane im geographischen Koordinatensystem immer unter dem gleichen Winkel schneidet ([Wikipedia](https://de.wikipedia.org/wiki/Loxodrome))
"
"map border
","- Kartenrahmen
"
"map composition
","- Kartengestaltung
"
"map face
","- Kartenfeld, -spiegel, -bild
"
"map margin
","- Kartenrand
"
"map series
","- Kartenwerk
"
"map sheet
","- Kartenblatt
"
"map surface
","- Kartenfeld, -spiegel, -bild
"
"map title
","- Kartentitel
"
"map-related representation
","- kartenverwandte/ kartenähnliche Darstellung
"
"mappa mundi
","- cloth of the world
<br>- tuch der Welt
<br>- schematische dargestellte Weltkarte
"
"mapping agency
","- Vermessungsbehörde
"
"meridian
","- Meridian
"
"modern history/ period/ era
","- Neuzeit
<br>- 16 Jhd. - heute
"
"nautical chart
","- Seekarte
"
"neatline
","- Blattrandlinie
"
"Northern Celestial Hemisphere
","- Nordhimmel
"
"numerical scale
","- Kardinalskala
<br>- ein Skalenniveau welches die Intervallskala und die Verhältnisskala zusammenfasst [Wikipedia](https://de.wikipedia.org/wiki/Skalenniveau#Systematik_der_Skalen)
<br>- Merkmale sind metrisch
"
"oblateness
","- Abplattung
<br>- Verformung eines Planeten durch seine Rotation [Wikipedia](https://de.wikipedia.org/wiki/Abplattung)
<br>-  relative Unterschied der großen Halbachse (a) am Äquator und der kleine Halbachse (b) an den Polen
<br>  - $f=(a-b)/a=1-(b/a)$
"
"oblique aspect
","- schiefachsige Lage
<br>- schiefständige Lage
<br>- zwischenständige Lage
"
"official map series
","- Amtliches Kartenwerk
"
"offset printing
","- Offsetdruck
"
"ordinal scale
","- Ordinalskala
<br>- ein Skalenniveau [Wikipedia](https://de.wikipedia.org/wiki/Skalenniveau#Systematik_der_Skalen)
<br>- Merkmale sind kategorial
"
"perpendicular to
","- senkrecht auf
"
"plain
","- Flur
<br>- zusammenhängende Flurstücke umfassender Teil einer Gemarkung
"
"planar representation
","- planare Darstellung
"
"plane table
","- Messtisch
"
"planimetric representation
","- Grundrißdarstellung
"
"plot
","- Flurstück
<br>- Grundstück
<br>- amtlich vermessener und in der Regel örtlich abgemarkter Teil der Erdoberfläche ([Wikipedia](https://de.wikipedia.org/wiki/Flurst%C3%BCck))
"
"polar aspect
","- polständige Lage
"
"Portolan chart
","- Portolankarte, Rumbenkarte,
<br>- Windstrahlenkarte
"
"prehistory
","- Urgeschichte
<br>- ältesten Zeitabschnitt der menschlichen Geschichte, in der noch keine Schriftquellen vorliegen ([Wikipedia](https://de.wikipedia.org/wiki/Urgeschichte))
<br>- begann vor etwa 2,5 Millionen Jahren
<br>- endet unterschiedlich
"
"prime meridian
","- Nullmeridian
"
"projections
","- Projektion
"
"protohistory
","- Frühgeschichte
<br>- Zeitabschnitt der menschlichen Geschichte, in der erste Schriftquellen vorliegen ([Wikipedia](https://de.wikipedia.org/wiki/Fr%C3%BChgeschichte))
<br>- die vorangehende Epoche ist die Urgeschichte
"
"quarter-wind
","- Viertel-Wind (einer Windrose)
"
"real estate
","- Liegenschaft
"
"reference ellipsoid
","- Bezugsellipsoid
<br>- mathematisch beschriebene Erdfläche mit Annäherung an den Geoiden
"
"reference frame
","- Bezugsrahmen
"
"relative location
","- A location of a place in relation to another place ([ThoughtCo.](https://www.thoughtco.com/relative-location-definition-1434844))
"
"residential area
","- Wohngebiet
"
"residential building
","- Wohngebäude
"
"residential street
","- Wohnstraße
"
"rhumbline network
","- Liniennetz
"
"rhumbline
","- Rumbenlinie
"
"rotational axis
","- Rotationsachse
"
"scale
","- Maßstab
"
"seafaring
","- Seefahrt
"
"secant
","- Sekante
<br>- eine Gerade, die eine Kurve (Kreis) in zwei Punkten schneidet
"
"semi-major axis
","- große Halbachse [Wikipedia](https://de.wikipedia.org/wiki/Halbachsen_der_Ellipse)
<br>- halbe Länge des größten Durchmessers einer Ellipse
"
"semi-minor axis
","- kleine Halbachse [Wikipedia](https://de.wikipedia.org/wiki/Halbachsen_der_Ellipse)
<br>- halbe Länge des kleinsten Durchmessers einer Ellipse
"
"semiotics
","- beschäftigt sich damit, wie wir Objekte in der Realität mit Symbolen auf der Karte in Verbindung setzen/ Symbole auf mit Objekten in der Realität assozieren
"
"shaded relief
","- Schummerung, Reliefschummerung
"
"shading hachures
","- Schattenschraffen
"
"sheet corner values
","- Blatteckenwerte
"
"sheet designation
","- Kartenblattbezeichnung
"
"sheet index
","- Blattübersicht
"
"sheet line system
","- Blattschnitt
"
"sheet margin
","- Blattrand
"
"sheet name
","- Blattname
"
"sheet number
","- Blattnummer
"
"slope diagram
","- Neigungsmaßstab
<br>- böschungsdiagramm
"
"soil
","- Boden
"
"Southern Celestial Hemisphere
","- Südhimmel
"
"spatial arrangement
","- räumliche Anordnung
"
"Sphere
","- Kugel
"
"straight line
","- Gerade
"
"surveying
","- Landesvermessung
"
"system of regerence
","- Lagebezugssystem
"
"tangent
","- Tangente
<br>- eine Gerade, die eine Kurve (Kreis) einen Punkt berührt
"
"theodolite
","- Theodolit
"
"Tissot’s indicatrix
","- Tissotsche Indikatrix
<br>- Verzerrungsellipsen, mit deren Hilfe Kartennetzentwürfe auf ihre Verzerrungseigenschaften hin überprüft werden können ([Wikipedia](https://de.wikipedia.org/wiki/Tissotsche_Indikatrix))
"
"topographic survey
","- topographische Landesaufnahme
"
"transverse aspect
","- transversale Lage
<br>- Äquatorachsige Lage, Äquatoriale Lage, Äquatorständige Lage, Querachsige Lage
<br>- Diejenige Lage der Abbildungsfläche, bei der deren Achse in der Äquatorebene des Ellipsoids liegt ([Uni-Rostock.de](http://www.geoinformatik.uni-rostock.de/einzel.asp?ID=-732026798))
"
"triangulation
","- Triangulation
"
"verbal scale
","- verbaler Maßstab
<br>  - 1 cm der Karte entspricht 250 m der Natur
"
"visual variables
","- Graphische Variablen
"
"windrose network
","- Liniennetz
"
