"adaptation
","- Anpassung
"
"Ressourcenfluch
","- verschiedenen negativen Folgen, die der Reichtum an natürlichen Ressourcen für ein Land und seine Bevölkerung haben kann ([Wikipedia](https://de.wikipedia.org/wiki/Ressourcenfluch))
<br>- Ein schneller, aus einem Produktionsausbau oder Preisanstieg resultierender Einkommenszuwachs im Rohstoffbereich bringt häufig eine Überbewertung der nationalen Währung mit sich, was zu Inflation führt und die Exportproduktion anderer Wirtschaftszweige gefährdet. Hinzu kommt, dass institutionell wenig gefestigte Staatsapparate einen plötzlichen Einkommenszuwachs kaum sinnvoll verarbeiten können. Es entstehen zuweilen schwere bis gewaltsame Verteilungskämpfe um die neu gewonnenen Einnahmen und ein Nährboden für Korruption in großem Maßstab. ([bpb](http://www.bpb.de/internationales/afrika/afrika/58972/rohstoffe-fuer-den-export?p=all))
"
"Risiko
","- Wagnis, Gefahr
<br>- Ereignis mit möglicher negativer (Gefahr) bzw. positiver (Chance) Auswirkung ([Wikipedia](https://de.wikipedia.org/wiki/Risiko))
"
"Risikogesellschaft
","- in hoch entwickelten Industriegesellschaften existieren mehr (soziale, ökologische, individuelle und politische) Risiken, als die bestehenden Sicherungsmechanismen und Kontrolleinrichtungen des Staates bewältigen können
"
"Rohstoffe
","- natürliche Ressourcen, die bis auf die Lösung (Gewinnung) aus ihrer natürlichen Quelle noch keine Bearbeitung erfahren haben ([Wikipedia](https://de.wikipedia.org/wiki/Rohstoff))
"
"Segregation
","- absondern, trennen
<br>- räumlichen Aufteilung Elementen anhand bestimmter Eigenschaften ([Wikipedia](https://de.wikipedia.org/wiki/Segregation_(Soziologie)))
"
"Souveränität
","- Staatshoheit
<br>- oberste Kompetenz zur Machtausübung im Innern eines Staates
"
"Spaces of Exeptions
","- places where the normal law no longer holds
<br>- neue Räume im Ausnahmezustand
<br>  - ungoverned territories (Syrien)
<br>  - staatlicher Kontrolle entzogener Räume (Flüchtlingslager, Slums, …)
<br>  - Regionen atomarer Katastrophen
"
"Staat
","- Politikwissenschaft
<br>  - der Staat hat drei zentrale Funktionen gegenüber seinen Bürgern zu leisten
<br>    - Sicherheit, Wohlfahrt und Legitimation/Rechtsstaatlichkeit
<br>- Völkerrechtslehre
<br>  - der Staat definiert sich aus drei Elementen
<br>    - Staatsgebiet, Staatsvolk und Staatsgewalt
"
"Supranational
","- Überstaatlichkeit
"
"Terrorismus
","- Kommunikationsstrategie
<br>- Mit Gewalt auf politischen, moralischen oder religiösen Anliegen aufmerksam machen
<br>- 'Der […] Guerilla besetzt tendenziell den Raum, um später das Denken gefangen zu nehmen, der Terrorist besetzt das Denken, da er den Raum nicht nehmen kann.' ~ Franz Wördemanns ([Wikipedia](https://de.wikipedia.org/wiki/Terrorismus#cite_note-16))
"
